"filename", "language", "PostCSS", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\nathe\OneDrive\Documents\GitHub\ofa-website-redesign\apply.css", "PostCSS", 314, 0, 0, 0, 33, 347
"c:\Users\nathe\OneDrive\Documents\GitHub\ofa-website-redesign\apply.html", "HTML", 0, 114, 0, 0, 12, 126
"c:\Users\nathe\OneDrive\Documents\GitHub\ofa-website-redesign\contact.css", "PostCSS", 428, 0, 0, 0, 57, 485
"c:\Users\nathe\OneDrive\Documents\GitHub\ofa-website-redesign\contact.html", "HTML", 0, 104, 0, 0, 20, 124
"c:\Users\nathe\OneDrive\Documents\GitHub\ofa-website-redesign\frequently.css", "PostCSS", 314, 0, 0, 0, 33, 347
"c:\Users\nathe\OneDrive\Documents\GitHub\ofa-website-redesign\frequently.html", "HTML", 0, 144, 0, 1, 18, 163
"c:\Users\nathe\OneDrive\Documents\GitHub\ofa-website-redesign\homepage.css", "PostCSS", 374, 0, 0, 0, 56, 430
"c:\Users\nathe\OneDrive\Documents\GitHub\ofa-website-redesign\index.html", "HTML", 0, 142, 0, 0, 18, 160
"c:\Users\nathe\OneDrive\Documents\GitHub\ofa-website-redesign\intern.css", "PostCSS", 351, 0, 0, 0, 40, 391
"c:\Users\nathe\OneDrive\Documents\GitHub\ofa-website-redesign\intern.html", "HTML", 0, 100, 0, 0, 18, 118
"c:\Users\nathe\OneDrive\Documents\GitHub\ofa-website-redesign\partner.css", "PostCSS", 373, 0, 0, 0, 45, 418
"c:\Users\nathe\OneDrive\Documents\GitHub\ofa-website-redesign\partner.html", "HTML", 0, 141, 0, 0, 9, 150
"c:\Users\nathe\OneDrive\Documents\GitHub\ofa-website-redesign\scroll-reveal.js", "JavaScript", 0, 0, 31, 0, 5, 36
"Total", "-", 2154, 745, 31, 1, 364, 3295
